"","EH_ID","experiment","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","Locality","Genome","mouse_strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","primary_infection","InfectionStrain","challenge_infection","contamination","infection_history","InfectionHistoryTotal"
"312","LM0206","E57","E57aMWZ",16.23,16.97,95.6393635827932,1.35,8,"primary",1,0,2,1,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"313","LM0206","E57","E57aDHK",16.75,16.97,98.7035945786682,0.68,9,"primary",0,0,0,0,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"322","LM0206","E57","E57aFJL",16.22,16.97,95.5804360636417,1.26,10,"primary",0,0,0,0,1,"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,"2018-04-20",1,3,"1","2","EX",873,"F","63","1F","5.1",8.63,"L4",NA,NA,"BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64",NA,NA,NA,NA,NA
"331","LM0207","E57","E57aCPY",17.27,17.27,100,1.03,0,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"327","LM0207","E57","E57aFNU",17.8,17.27,103.068905616676,0,1,"primary",NA,NA,NA,NA,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"333","LM0207","E57","E57aFOX",16.72,17.27,96.8152866242038,0,2,"primary",NA,NA,NA,NA,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"332","LM0207","E57","E57aANQ",17.25,17.27,99.8841922408801,0.53,3,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"323","LM0207","E57","E57aJKO",16.79,17.27,97.2206137811233,0.96,4,"primary",0,1,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"328","LM0207","E57","E57aBHT",16,17.27,92.6462072958888,0.25,5,"primary",7,15,13,13,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"330","LM0207","E57","E57aKTU",15.62,17.27,90.4458598726115,0.53,6,"primary",95,109,145,124,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"324","LM0207","E57","E57aBEP",16.71,17.27,96.7573827446439,0.91,7,"primary",138,102,156,87,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"325","LM0207","E57","E57aBNW",17.2,17.27,99.5946728430805,0.83,8,"primary",17,36,30,29,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"326","LM0207","E57","E57aADP",17.39,17.27,100.694846554719,0.76,9,"primary",20,9,8,8,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"329","LM0207","E57","E57aEHM",17.61,17.27,101.968731905038,0.85,10,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"339","LM0208","E57","E57aGQU",22.82,22.82,100,1.94,0,"primary",0,0,0,0,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"336","LM0208","E57","E57aDIT",23.15,22.82,101.446099912358,0,1,"primary",NA,NA,NA,NA,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"334","LM0208","E57","E57aIOV",23.39,22.82,102.497808939527,0,2,"primary",NA,NA,NA,NA,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"344","LM0208","E57","E57aLOX",24.15,22.82,105.828220858896,1.31,3,"primary",0,0,0,0,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"340","LM0208","E57","E57aAFV",22.74,22.82,99.6494303242769,1.97,4,"primary",1,0,0,0,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"341","LM0208","E57","E57aPSV",22.06,22.82,96.669588080631,0.96,5,"primary",0,24,10,4,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"342","LM0208","E57","E57aDPV",21.83,22.82,95.6617002629273,0.68,6,"primary",59,48,72,54,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"338","LM0208","E57","E57aFHX",22.66,22.82,99.2988606485539,1.64,7,"primary",81,89,100,97,2,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"343","LM0208","E57","E57aFHR",23.44,22.82,102.716914986854,1.78,8,"primary",22,10,15,16,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"335","LM0208","E57","E57aLOU",23.24,22.82,101.840490797546,1.2,9,"primary",25,15,16,16,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"337","LM0208","E57","E57aMTZ",22.87,22.82,100.219106047327,1.28,10,"primary",0,0,1,0,1,"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,NA,"STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64",NA,NA,NA,NA,NA
"352","LM0209","E57","E57aHPQ",22.09,22.09,100,1.08,0,"primary",0,0,0,0,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"351","LM0209","E57","E57aFOZ",21.96,22.09,99.4114984155727,0,1,"primary",NA,NA,NA,NA,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"354","LM0209","E57","E57aIUY",22.59,22.09,102.263467632413,0,2,"primary",NA,NA,NA,NA,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"346","LM0209","E57","E57aHIM",22.22,22.09,100.588501584427,1.14,3,"primary",0,0,0,0,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"345","LM0209","E57","E57aGNX",21.54,22.09,97.5101856043458,1.72,4,"primary",0,0,0,1,1.5,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"349","LM0209","E57","E57aAFO",20.32,22.09,91.9873245812585,1.11,5,"primary",3,5,6,9,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"348","LM0209","E57","E57aDHQ",21.71,22.09,98.2797645993662,1.38,6,"primary",80,79,83,95,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"347","LM0209","E57","E57aNOQ",22.57,22.09,102.172928927116,1.29,7,"primary",18,22,22,19,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"355","LM0209","E57","E57aLMY",22.94,22.09,103.847894975102,1.26,8,"primary",1,3,1,2,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"350","LM0209","E57","E57aGKL",23.11,22.09,104.617473970122,1.26,9,"primary",0,0,1,0,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"353","LM0209","E57","E57aASY",22.55,22.09,102.08239022182,1.24,10,"primary",0,0,0,0,1,"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-04-03",1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,NA,"STRA","STRA","parental strains",13.8571428571429,1,"E64",NA,NA,NA,NA,NA
"356","LM0210","E57","E57aBOU",15.65,15.65,100,1.43,0,"primary",0,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"357","LM0210","E57","E57aBTY",15.95,15.65,101.916932907348,0,1,"primary",NA,NA,NA,NA,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"358","LM0210","E57","E57aHQY",15.53,15.65,99.2332268370607,0,2,"primary",NA,NA,NA,NA,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"362","LM0210","E57","E57aBKM",16.08,15.65,102.747603833866,1,3,"primary",0,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"360","LM0210","E57","E57aFGI",16.07,15.65,102.683706070288,0.96,4,"primary",0,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"361","LM0210","E57","E57aGRU",15.94,15.65,101.85303514377,0.64,5,"primary",5,17,8,20,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"359","LM0210","E57","E57aCWX",16.15,15.65,103.194888178914,0.91,6,"primary",30,32,45,50,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"366","LM0210","E57","E57aDRW",16.85,15.65,107.667731629393,1.15,7,"primary",77,73,99,82,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"365","LM0210","E57","E57aLPX",16.9,15.65,107.987220447284,1.06,8,"primary",10,9,14,12,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"363","LM0210","E57","E57aALT",17.48,15.65,111.693290734824,1,9,"primary",1,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"364","LM0210","E57","E57aEKY",17.84,15.65,113.993610223642,1.24,10,"primary",0,0,0,1,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,NA,"PWD","SCHUNT","inter subsp. hybrids",9,1,"E64",NA,NA,NA,NA,NA
"370","LM0211","E57","E57aBKT",17.42,17.42,100,1.38,0,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"377","LM0211","E57","E57aFPY",17.7,17.42,101.607347876005,0,1,"primary",NA,NA,NA,NA,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"374","LM0211","E57","E57aOUW",17.76,17.42,101.95177956372,0,2,"primary",NA,NA,NA,NA,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"367","LM0211","E57","E57aGHI",17.4,17.42,99.8851894374282,1.04,3,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"369","LM0211","E57","E57aFNP",17.05,17.42,97.8760045924225,0.8,4,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"368","LM0211","E57","E57aPVW",15.65,17.42,89.8392652123995,0.35,5,"primary",12,10,12,12,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"376","LM0211","E57","E57aDJU",14.26,17.42,81.8599311136624,0.2,6,"primary",18,15,15,26,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"371","LM0211","E57","E57aIOQ",15.05,17.42,86.3949483352468,0.86,7,"primary",119,117,123,130,1.5,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"372","LM0211","E57","E57aFPS",17.26,17.42,99.0815154994259,1.11,8,"primary",13,12,17,11,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"373","LM0211","E57","E57aAPU",17.73,17.42,101.779563719862,0.94,9,"primary",3,0,4,3,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"375","LM0211","E57","E57aDKM",17.94,17.42,102.985074626866,0.89,10,"primary",0,1,1,2,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-04-01",4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,NA,"PWD","PWD","parental strains",14.1428571428571,1,"E64",NA,NA,NA,NA,NA
"382","LM0212","E57","E57aHJQ",21.58,21.58,100,1.29,0,"primary",0,0,0,0,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"384","LM0212","E57","E57aGHT",21.55,21.58,99.8609823911029,0,1,"primary",NA,NA,NA,NA,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"388","LM0212","E57","E57aHTY",21.11,21.58,97.8220574606117,0,2,"primary",NA,NA,NA,NA,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"381","LM0212","E57","E57aGKV",21.06,21.58,97.5903614457831,1.22,3,"primary",0,0,0,0,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"380","LM0212","E57","E57aHLO",19.42,21.58,89.9907321594069,1.59,4,"primary",0,0,0,1,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"385","LM0212","E57","E57aNOP",19.1,21.58,88.5078776645042,0.46,5,"primary",8,4,11,5,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"387","LM0212","E57","E57aABY",18.68,21.58,86.5616311399444,0.85,6,"primary",171,125,240,203,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"383","LM0212","E57","E57aDNY",19.67,21.58,91.1492122335496,1.5,7,"primary",31,24,38,35,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"378","LM0212","E57","E57aCNR",20.18,21.58,93.5125115848007,1.71,8,"primary",10,8,8,12,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"379","LM0212","E57","E57aBOX",20.71,21.58,95.9684893419833,2.07,9,"primary",6,4,3,4,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"386","LM0212","E57","E57aDIK",20.68,21.58,95.8294717330862,1.34,10,"primary",2,0,2,0,1,"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,"2018-04-10",4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,NA,"SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64",NA,NA,NA,NA,NA
"393","LM0213","E57","E57aFHV",15.39,15.39,100,1.4,0,"primary",0,0,0,0,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",667,"F","43","1F","4.34",4.99,"L4",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
"394","LM0213","E57","E57aORX",15.33,15.39,99.6101364522417,0,1,"primary",NA,NA,NA,NA,1,"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,"2018-03-07",3,9,"5","4","EX",667,"F","43","1F","4.34",4.99,"L4",NA,NA,"PWD","PWD","parental strains",17.7142857142857,1,"E64",NA,NA,NA,NA,NA
